Operator,In Out Travelling,Network Type,Rating,Call Drop Category,Latitude,Longitude,State Name
RJio,Indoor,4G,4,Satisfactory,12.6915259,78.6350862,Tamil Nadu
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Outdoor,4G,5,Satisfactory,25.5948051,85.2209706,Bihar
Airtel,Indoor,4G,5,Satisfactory,25.59547133,85.22137558,Bihar
Airtel,Indoor,4G,4,Satisfactory,28.6408385,77.2292663,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6408326,77.229232,NCT
Airtel,Indoor,3G,2,Poor Voice Quality,28.5636543,77.2888219,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5676594,77.2896856,Uttar Pradesh
Airtel,Indoor,3G,3,Poor Voice Quality,28.5658584,77.2855901,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5676686,77.2896744,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.567702,77.2896804,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5677311,77.2896786,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5636543,77.2888219,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5655834,77.2902582,Uttar Pradesh
Airtel,Indoor,3G,5,Satisfactory,28.5689653,77.2881037,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5658584,77.2855901,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,28.60382783,77.16972275,NCT
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,11.23941285,77.20771073,Tamil Nadu
RJio,Indoor,4G,4,Satisfactory,11.23941285,77.20771073,Tamil Nadu
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,1,Call Dropped,-1,-1,NA
Airtel,Indoor,3G,5,Satisfactory,28.6409868,77.2274026,NCT
Airtel,Indoor,4G,5,Satisfactory,28.562665,77.2859492,Uttar Pradesh
Airtel,Indoor,3G,1,Call Dropped,28.5676584,77.2896748,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.5676584,77.2896748,Uttar Pradesh
Airtel,Outdoor,4G,5,Satisfactory,28.6405912,77.229552,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6408376,77.2292397,NCT
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,28.60382783,77.16972275,NCT
Airtel,Indoor,4G,5,Satisfactory,28.60382783,77.16972275,NCT
Airtel,Indoor,4G,5,Satisfactory,28.60382783,77.16972275,NCT
Airtel,Indoor,4G,1,Call Dropped,28.60382783,77.16972275,NCT
Airtel,Indoor,4G,5,Satisfactory,28.60382783,77.16972275,NCT
Airtel,Indoor,3G,5,Satisfactory,28.562665,77.2859492,Uttar Pradesh
Airtel,Indoor,4G,5,Satisfactory,28.60382783,77.16972275,NCT
Airtel,Indoor,3G,5,Satisfactory,28.5677288,77.2896483,Uttar Pradesh
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Indoor,4G,4,Satisfactory,-1,-1,NA
Vodafone,Indoor,3G,3,Poor Voice Quality,-1,-1,NA
Airtel,Indoor,4G,5,Satisfactory,28.60382783,77.16972275,NCT
Airtel,Indoor,4G,5,Satisfactory,28.6404761,77.2295715,NCT
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Outdoor,4G,4,Satisfactory,-1,-1,NA
RJio,Travelling,4G,5,Satisfactory,19.11353654,72.85321017,Maharashtra
RJio,Travelling,4G,2,Poor Voice Quality,19.07545493,72.86081075,Maharashtra
RJio,Travelling,4G,3,Poor Voice Quality,19.07545493,72.86081075,Maharashtra
RJio,Outdoor,4G,4,Satisfactory,19.06743112,72.87906087,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.05427866,72.91475504,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,19.06308867,72.91885749,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.05590879,72.9150845,Maharashtra
RJio,Indoor,4G,4,Satisfactory,19.06421012,72.91986075,Maharashtra
RJio,Indoor,4G,1,Poor Voice Quality,19.06431614,72.91982659,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.06431614,72.91982659,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642666,72.9199263,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.06426755,72.91992913,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,19.07854791,72.91032103,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.08602996,72.90902626,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642721,72.9199203,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.06493897,72.91962506,Maharashtra
RJio,Travelling,4G,5,Satisfactory,19.05758511,72.88856059,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,19.1362616,72.84807606,Maharashtra
RJio,Outdoor,4G,5,Satisfactory,19.1363618,72.8480215,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.06342708,72.91882424,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642722,72.9199202,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642715,72.9199199,Maharashtra
RJio,Indoor,4G,5,Satisfactory,19.0642666,72.9199263,Maharashtra
